total_people,tap_closure_days_per_week,avg_daily_usage,hourly_usage,remaining_units,leak_detected
3,4,118.51,4.22,6.86,0
7,3,278.05,9.75,69.48,0
5,2,181.17,5.02,1567.17,1
4,4,212.55,3.42,132.97,0
2,3,146.88,6.43,42.05,1
2,3,80.77,0.13,71.95,0
1,1,38.54,3.65,517.28,0
6,3,318.85,0.45,145.87,0
4,3,304.89,29.73,2.09,1
5,2,268.54,5.09,101.96,1
1,5,52.29,2.71,267.16,0
8,3,417.36,34.96,17.1,1
6,3,372.83,10.12,86.17,1
2,3,159.49,13.84,29.35,0
2,1,76.95,1.21,79.45,1
2,4,84.45,4.67,11.81,0
3,2,188.58,7.31,784.11,1
4,4,299.03,34.17,1904.87,0
3,3,161.84,0.38,1752.17,0
2,2,198.61,15.53,91.86,0
4,3,186.5,3.31,28.59,1
2,4,91.47,1.65,13.33,1
2,3,146.36,1.95,3.08,1
3,3,168.33,0.55,5.23,1
3,2,217.76,15.9,6.39,0
5,4,212.45,7.04,331.14,0
2,2,197.89,6.24,24.75,0
4,3,214.22,3.95,112.32,0
4,1,269.26,0.03,1089.14,0
1,2,68.17,1.96,149.42,1
4,3,214.91,13.88,468.69,1
2,2,102.67,2.89,1289.84,0
1,4,42.83,2.34,137.05,0
7,3,272.34,20.6,2573.93,1
8,4,440.54,9.04,94.61,0
5,3,388.82,27.51,3.46,1
3,0,311.08,7.31,78.4,1
1,3,43.71,0.58,4.64,1
5,2,192.59,7.27,14.66,0
3,3,225.61,20.13,117.2,0
2,3,143.06,3.12,159.07,0
3,3,253.59,19.66,30.3,1
1,0,28.6,0.45,314.49,0
6,4,209.23,19.27,2380.6,1
2,3,114.9,5.25,145.37,0
4,3,360.35,9.46,492.31,1
3,2,222.29,7.04,2841.72,0
4,3,325.7,12.44,419.81,1
4,3,160.03,15.81,2538.32,1
2,4,181.93,0.57,2632.98,0
8,3,470.64,7.69,2.65,1
5,3,269.39,0.53,308.88,1
7,2,472.81,16.08,75.89,0
6,4,237.45,8.25,111.25,0
4,3,170.56,3.58,28.37,0
7,4,272.83,1.15,106.08,1
1,3,41.14,0.0,44.38,0
2,2,75.75,2.41,954.59,1
1,3,45.84,2.99,11.45,0
3,3,143.76,3.29,8.91,0
3,2,144.73,9.7,136.55,0
2,2,115.3,7.59,10.36,0
6,4,503.17,7.38,60.75,0
3,1,150.03,0.45,99.35,0
2,4,101.68,9.47,6.75,0
4,2,301.72,42.81,35.14,0
2,5,115.94,5.92,37.05,0
5,5,236.87,17.0,7.18,1
1,3,35.57,0.88,2023.43,1
9,5,561.37,39.83,1.02,1
5,4,293.64,0.04,52.11,1
2,1,103.94,3.67,406.7,0
1,5,82.84,6.44,118.55,0
5,1,334.53,28.37,35.24,0
5,2,403.34,17.81,124.11,0
5,3,375.89,2.01,436.76,1
5,1,251.68,15.32,272.19,1
1,2,33.92,0.26,61.71,0
3,5,106.95,13.1,487.0,0
1,5,37.24,3.68,6.21,0
6,4,388.16,2.15,585.72,0
4,3,187.59,15.57,34.94,1
3,4,144.47,0.54,2044.37,1
1,1,49.85,0.3,109.16,1
3,5,214.79,13.88,88.8,0
3,3,123.58,4.0,97.71,0
5,4,176.37,2.8,35.79,1
4,3,150.3,2.69,2814.87,0
6,5,192.5,1.97,581.42,0
3,4,231.17,3.55,14.08,0
1,4,56.98,3.12,7.98,0
5,3,260.21,0.0,9.27,0
5,4,187.61,0.0,114.21,1
4,4,248.54,6.16,508.1,0
5,2,388.13,1.69,197.36,0
3,3,159.08,0.7,393.94,1
4,2,172.14,6.45,103.12,0
3,4,137.72,5.38,592.22,1
1,1,98.46,27.97,93.04,1
1,5,88.03,2.6,31.49,1
1,3,56.01,3.04,525.79,0
4,2,237.03,3.79,3.42,1
3,4,110.34,2.84,112.46,0
4,1,255.14,26.22,3.82,1
6,3,420.65,36.11,29.84,0
2,4,122.22,0.0,3.04,0
3,2,173.81,1.47,93.91,1
5,3,471.01,28.23,371.22,0
2,3,84.01,0.17,303.7,1
1,5,41.9,3.12,2282.88,0
2,1,96.17,1.74,13.67,1
2,2,184.42,10.63,596.42,0
7,3,335.56,31.85,129.79,1
5,3,205.51,21.01,555.86,0
4,3,278.14,19.56,22.44,0
6,2,319.7,1.72,99.77,0
5,3,224.89,16.47,122.45,0
2,4,147.11,1.79,584.54,0
6,2,284.39,22.03,407.96,0
4,2,296.01,24.04,456.61,0
5,3,450.41,10.32,101.73,0
6,1,383.72,5.42,491.83,0
3,3,242.25,5.34,7.61,0
1,2,38.17,1.38,12.01,0
2,3,62.65,2.64,2483.19,0
3,3,193.41,8.36,265.42,0
5,3,223.5,4.18,155.42,0
6,4,258.16,24.24,5.18,0
1,5,21.52,2.17,413.33,0
4,3,208.59,7.17,67.23,0
3,3,221.89,0.52,1.08,1
2,1,135.09,0.6,1162.64,1
1,3,72.58,0.11,1567.93,0
3,3,216.64,23.59,376.41,0
7,1,343.83,30.0,115.27,0
3,2,156.19,5.9,224.16,0
4,2,224.79,0.48,1437.64,0
5,2,253.94,0.69,25.61,1
3,3,195.89,4.54,147.96,0
8,4,405.23,1.51,392.29,1
8,4,550.06,38.77,308.04,0
2,3,121.6,10.08,102.91,1
3,3,122.06,9.41,89.27,0
3,3,167.01,10.9,317.08,0
2,3,117.9,1.85,123.99,0
1,3,45.55,0.0,534.66,0
4,2,268.13,6.64,17.29,0
4,3,228.88,25.09,8.67,1
1,3,47.49,2.77,0.54,1
2,0,112.88,1.07,152.21,0
6,0,372.85,5.24,332.47,1
2,2,113.28,1.69,239.8,0
2,3,149.38,12.96,117.21,0
3,3,149.89,4.62,74.06,0
9,0,533.12,69.1,304.58,0
2,2,81.72,0.77,113.25,1
4,1,181.62,0.35,74.47,0
5,5,204.78,12.28,132.2,0
2,2,92.54,10.61,45.25,0
5,0,248.15,25.46,136.72,0
3,3,93.25,8.0,106.74,0
4,2,153.71,1.04,76.22,1
4,3,185.21,4.65,59.79,0
4,2,341.3,33.94,7.45,1
1,5,57.69,3.18,2324.82,0
6,5,418.09,10.71,1390.44,1
3,3,146.53,2.62,82.6,0
2,3,90.56,6.03,2.03,1
1,3,61.79,4.43,24.87,1
4,5,180.28,4.5,72.04,1
4,3,242.73,18.55,6.77,1
1,2,44.83,9.39,233.43,0
4,1,203.64,25.7,264.26,0
2,2,58.14,0.52,2501.34,0
4,3,277.47,19.71,116.56,0
2,2,115.05,10.11,99.43,1
5,3,286.01,5.53,107.93,1
3,3,110.23,12.09,546.9,0
7,4,384.78,12.31,2041.27,0
2,3,98.44,3.57,42.43,0
3,3,139.78,15.96,105.21,0
1,3,53.31,4.8,14.26,0
7,4,248.8,26.86,127.32,0
6,1,403.43,32.17,369.89,0
2,1,73.67,1.98,49.24,1
4,3,147.16,4.26,478.43,1
5,4,223.25,0.67,99.34,1
4,3,160.79,0.02,168.64,1
4,3,204.79,0.62,90.06,1
2,2,88.58,5.74,114.57,0
1,2,44.93,3.34,133.27,1
6,4,120.93,0.64,597.97,1
6,2,293.47,0.59,133.04,1
4,3,331.89,5.93,98.25,0
3,4,242.65,3.67,76.72,0
3,0,196.94,3.85,547.27,1
5,0,304.54,0.0,1.9,0
6,2,541.99,13.86,51.35,0
6,3,325.05,9.95,1443.89,0
5,2,311.79,8.58,72.12,1
4,0,312.45,0.95,237.91,1
1,2,77.36,1.64,1189.83,1
2,1,81.3,0.82,1.33,1
6,2,220.37,8.24,257.87,0
4,2,204.58,2.46,18.34,0
1,2,39.54,4.54,58.11,0
1,3,67.55,0.41,323.01,0
