total_people,tap_closure_days_per_week,avg_daily_usage,hourly_usage,remaining_units,leak_detected
3,4,118.51,4.14,6.86,0
7,3,278.05,9.76,69.48,0
5,2,181.17,5.22,1567.17,0
4,4,212.55,3.56,132.97,0
2,3,146.88,6.38,42.05,0
2,3,80.77,0.16,71.95,0
1,1,38.54,3.9,517.28,0
6,3,318.85,0.62,145.87,0
4,3,304.89,29.97,2.09,1
5,2,268.54,5.08,101.96,0
1,5,52.29,2.3,267.16,0
8,3,417.36,34.86,17.1,1
6,3,372.83,9.96,86.17,0
2,3,159.49,13.72,29.35,0
2,1,76.95,1.14,79.45,0
2,4,84.45,5.01,11.81,0
3,2,188.58,7.09,784.11,0
4,4,299.03,34.53,1904.87,0
3,3,161.84,0.63,1752.17,0
2,2,198.61,15.91,91.86,0
4,3,186.5,3.18,28.59,1
2,4,91.47,1.66,13.33,0
2,3,146.36,2.28,3.08,0
3,3,168.33,0.48,5.23,0
3,2,217.76,16.14,6.39,0
5,4,212.45,7.28,331.14,0
2,2,197.89,6.52,24.75,0
4,3,214.22,3.75,112.32,0
4,1,269.26,0.17,1089.14,0
1,2,68.17,1.98,149.42,1
4,3,214.91,13.83,468.69,1
2,2,102.67,2.93,1289.84,0
1,4,42.83,2.74,137.05,0
7,3,272.34,20.63,2573.93,1
8,4,440.54,9.09,94.61,0
5,3,388.82,23.84,3.46,0
3,0,311.08,7.44,78.4,1
1,3,43.71,0.39,4.64,0
5,2,192.59,7.17,14.66,0
3,3,225.61,20.21,117.2,0
2,3,143.06,3.18,159.07,0
3,3,253.59,19.74,30.3,1
1,0,28.6,0.33,314.49,0
6,4,209.23,19.43,2380.6,0
2,3,114.9,4.95,145.37,0
4,3,360.35,9.11,492.31,1
3,2,222.29,6.93,2841.72,0
4,3,325.7,12.48,419.81,0
4,3,160.03,15.79,2538.32,1
2,4,181.93,0.38,2632.98,0
8,3,470.64,7.93,2.65,1
5,3,269.39,0.65,308.88,0
7,2,472.81,16.15,75.89,0
6,4,237.45,8.32,111.25,0
4,3,170.56,3.56,28.37,0
7,4,272.83,0.92,106.08,0
1,3,41.14,0.0,44.38,0
2,2,75.75,2.56,954.59,1
1,3,45.84,2.96,11.45,0
3,3,143.76,3.46,8.91,0
3,2,144.73,9.5,136.55,0
2,2,115.3,7.34,10.36,0
6,4,503.17,7.2,60.75,0
3,1,150.03,0.38,99.35,0
2,4,101.68,9.55,6.75,0
4,2,301.72,42.56,35.14,0
2,5,115.94,5.66,37.05,0
5,5,236.87,17.26,7.18,1
1,3,35.57,0.89,2023.43,1
9,5,561.37,39.72,1.02,1
5,4,293.64,0.31,52.11,0
2,1,103.94,3.39,406.7,0
1,5,82.84,6.42,118.55,0
5,1,334.53,28.57,35.24,0
5,2,403.34,15.41,124.11,0
5,3,375.89,1.86,436.76,0
5,1,251.68,15.26,272.19,0
1,2,33.92,0.23,61.71,0
3,5,106.95,12.92,487.0,0
1,5,37.24,3.49,6.21,0
6,4,388.16,1.76,585.72,0
4,3,187.59,15.7,34.94,1
3,4,144.47,0.67,2044.37,0
1,1,49.85,0.52,109.16,1
3,5,214.79,14.08,88.8,0
3,3,123.58,4.07,97.71,0
5,4,176.37,2.68,35.79,1
4,3,150.3,2.97,2814.87,0
6,5,192.5,2.56,581.42,0
3,4,231.17,3.28,14.08,0
1,4,56.98,2.95,7.98,0
5,3,260.21,0.0,9.27,0
5,4,187.61,0.27,114.21,0
4,4,248.54,6.3,508.1,0
5,2,388.13,1.63,197.36,0
3,3,159.08,0.8,393.94,0
4,2,172.14,6.57,103.12,0
3,4,137.72,5.39,592.22,0
1,1,98.46,24.31,93.04,0
1,5,88.03,2.43,31.49,1
1,3,56.01,3.37,525.79,0
4,2,237.03,3.97,3.42,1
3,4,110.34,2.89,112.46,0
4,1,255.14,26.39,3.82,0
6,3,420.65,36.1,29.84,0
2,4,122.22,0.18,3.04,0
3,2,173.81,1.17,93.91,0
5,3,471.01,27.86,371.22,0
2,3,84.01,0.25,303.7,1
1,5,41.9,3.18,2282.88,0
2,1,96.17,1.92,13.67,1
2,2,184.42,10.53,596.42,0
7,3,335.56,31.57,129.79,1
5,3,205.51,20.93,555.86,0
4,3,278.14,19.76,22.44,0
6,2,319.7,1.58,99.77,0
5,3,224.89,16.4,122.45,0
2,4,147.11,2.11,584.54,0
6,2,284.39,21.9,407.96,0
4,2,296.01,23.9,456.61,0
5,3,450.41,10.12,101.73,0
6,1,383.72,5.18,491.83,0
3,3,242.25,4.94,7.61,0
1,2,38.17,1.21,12.01,0
2,3,62.65,2.68,2483.19,0
3,3,193.41,8.37,265.42,0
5,3,223.5,4.16,155.42,0
6,4,258.16,24.19,5.18,0
1,5,21.52,2.14,413.33,0
4,3,208.59,6.9,67.23,0
3,3,221.89,0.69,1.08,0
2,1,135.09,0.61,1162.64,1
1,3,72.58,0.14,1567.93,0
3,3,216.64,23.75,376.41,0
7,1,343.83,30.15,115.27,0
3,2,156.19,5.43,224.16,0
4,2,224.79,0.43,1437.64,0
5,2,253.94,0.67,25.61,1
3,3,195.89,4.63,147.96,0
8,4,405.23,1.14,392.29,0
8,4,550.06,38.79,308.04,0
2,3,121.6,10.06,102.91,1
3,3,122.06,9.45,89.27,0
3,3,167.01,10.63,317.08,0
2,3,117.9,1.86,123.99,0
1,3,45.55,0.0,534.66,0
4,2,268.13,6.9,17.29,0
4,3,228.88,25.42,8.67,1
1,3,47.49,2.79,0.54,1
2,0,112.88,1.28,152.21,0
6,0,372.85,5.4,332.47,0
2,2,113.28,1.61,239.8,0
2,3,149.38,12.91,117.21,0
3,3,149.89,4.73,74.06,0
9,0,533.12,69.37,304.58,0
2,2,81.72,0.6,113.25,0
4,1,181.62,0.49,74.47,0
5,5,204.78,12.2,132.2,0
2,2,92.54,10.73,45.25,0
5,0,248.15,25.6,136.72,0
3,3,93.25,8.06,106.74,0
4,2,153.71,0.87,76.22,0
4,3,185.21,4.95,59.79,0
4,2,341.3,33.91,7.45,0
1,5,57.69,3.3,2324.82,0
6,5,418.09,10.86,1390.44,1
3,3,146.53,2.57,82.6,0
2,3,90.56,6.37,2.03,1
1,3,61.79,4.49,24.87,0
4,5,180.28,4.45,72.04,0
4,3,242.73,18.51,6.77,1
1,2,44.83,8.22,233.43,0
4,1,203.64,25.39,264.26,0
2,2,58.14,0.67,2501.34,0
4,3,277.47,19.67,116.56,0
2,2,115.05,10.44,99.43,1
5,3,286.01,5.61,107.93,0
3,3,110.23,12.21,546.9,0
7,4,384.78,12.32,2041.27,0
2,3,98.44,3.4,42.43,0
3,3,139.78,15.86,105.21,0
1,3,53.31,4.68,14.26,0
7,4,248.8,26.67,127.32,0
6,1,403.43,32.0,369.89,0
2,1,73.67,1.99,49.24,1
4,3,147.16,4.31,478.43,0
5,4,223.25,0.58,99.34,1
4,3,160.79,0.25,168.64,1
4,3,204.79,0.71,90.06,1
2,2,88.58,5.91,114.57,0
1,2,44.93,3.55,133.27,1
6,4,120.93,0.43,597.97,0
6,2,293.47,0.68,133.04,0
4,3,331.89,5.92,98.25,0
3,4,242.65,3.36,76.72,0
3,0,196.94,3.75,547.27,1
5,0,304.54,0.03,1.9,0
6,2,541.99,13.99,51.35,0
6,3,325.05,10.09,1443.89,0
5,2,311.79,8.56,72.12,1
4,0,312.45,0.74,237.91,0
1,2,77.36,1.58,1189.83,1
2,1,81.3,1.0,1.33,1
6,2,220.37,7.96,257.87,0
4,2,204.58,2.5,18.34,0
1,2,39.54,4.47,58.11,0
1,3,67.55,0.33,323.01,0
4,2,264.85,9.45,2142.29,0
1,3,75.18,7.6,873.52,0
2,3,122.69,11.83,137.64,1
4,4,171.75,24.38,3.97,0
5,1,260.83,0.41,315.42,0
4,2,223.07,16.94,70.89,0
2,4,110.71,7.77,136.98,1
5,4,300.95,1.11,105.85,1
2,2,93.19,3.55,5.18,0
3,1,162.35,4.82,236.5,0
5,4,121.47,7.08,3.27,0
4,2,206.72,13.0,278.0,0
6,4,209.94,16.94,1778.9,0
4,5,134.39,2.14,248.24,0
4,2,196.44,5.92,2910.73,0
1,4,59.42,1.62,115.19,0
3,3,291.52,11.73,2046.11,0
2,4,121.87,2.2,103.74,1
2,3,102.66,0.55,2096.57,0
8,1,489.8,9.74,127.49,0
3,3,164.38,0.64,128.13,0
6,2,497.21,34.24,29.49,0
4,4,147.94,2.07,1.61,1
5,3,206.42,4.41,321.03,0
4,1,284.37,26.46,359.15,1
4,2,192.26,3.19,2146.68,0
3,4,253.62,1.1,95.37,0
2,2,82.35,8.19,64.19,0
5,4,259.88,20.82,5.42,0
2,2,67.19,1.14,154.26,0
1,3,42.0,4.64,586.47,0
4,4,105.61,2.56,250.29,0
2,1,124.03,0.43,181.11,0
7,2,275.53,5.33,59.76,0
7,4,303.37,1.5,378.76,0
7,3,328.21,42.06,247.2,0
3,3,248.03,9.92,2957.92,1
1,4,40.45,0.7,7.36,1
7,3,582.85,10.7,11.09,0
3,4,104.8,1.07,13.74,0
8,3,431.04,39.16,100.43,0
8,3,318.0,39.61,92.14,1
6,2,205.85,0.0,473.31,0
2,4,85.07,3.33,350.11,0
3,4,143.92,11.48,0.6,1
6,2,345.67,38.54,85.89,0
3,3,253.0,28.15,169.38,0
2,3,98.47,2.95,293.34,0
4,3,296.0,7.39,121.36,0
7,5,268.97,20.32,105.66,0
5,1,314.85,4.35,515.0,0
4,5,196.57,2.94,76.84,0
1,1,57.83,1.41,244.82,0
4,3,265.58,23.76,2594.4,0
10,3,327.35,24.97,277.43,0
2,2,89.07,2.79,1273.9,0
4,3,225.12,19.37,137.44,0
6,4,215.36,0.93,26.84,0
5,2,332.16,24.23,443.77,0
5,1,272.72,6.47,12.59,1
5,3,396.07,1.51,448.73,0
3,4,68.44,11.69,6.16,1
2,5,119.69,3.54,100.74,0
5,2,241.73,7.89,120.48,1
5,4,307.81,10.03,22.12,1
6,3,336.66,32.5,422.96,0
7,2,295.89,9.1,37.86,0
4,5,259.7,8.19,3.18,1
4,2,295.36,17.85,126.68,0
5,4,366.11,8.08,137.46,0
